School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
2136,Moura State High School,-24.575045,149.982371,State High School,N,,,,Gillespie Street,Moura,4718,Principal,PO Box 224,Moura,,4718,8,(07) 4997 5888,N,(07) 4997 5800,www.mourashs.eq.edu.au,Year 7,Year 12,Central Queensland,Flynn,Callide,Banana (S),2136,Moura State High School,State High School,
2137,James Nash State High School,-26.175895,152.656069,State High School,Y,,,109,Myall Street,Gympie,4570,Principal,PO Box 492,Gympie,,4570,11,(07) 5480 6333,N,(07) 5480 6300,www.jamesnashshs.eq.edu.au,Year 7,Year 12,North Coast,Wide Bay,Gympie,Gympie (R),2137,James Nash State High School,State High School,
2139,Kingston State College,-27.664135,153.112162,State High School,Y,,,62-84,Bega Road,Kingston,4114,Principal,PO Box 100,Woodridge,,4114,11,(07) 3826 1333,N,(07) 3208 8803,www.kingstonsc.eq.edu.au,Year 7,Year 12,South East,Rankin,Woodridge,Logan (C),2139,Kingston State College,State High School,
2140,Springwood State High School,-27.612607,153.135963,State High School,Y,,,202,Springwood Road,Springwood,4127,Principal,PO Box 77,Springwood,,4127,10,(07) 3380 6111,N,(07) 3380 6100,www.springwoshs.eq.edu.au,Year 7,Year 12,South East,Rankin,Springwood,Logan (C),2140,Springwood State High School,State High School,
2142,Dakabin State High School,-27.229625,152.980831,State High School,N,,,,Marsden Road,Dakabin,4503,Principal,Marsden Road,Dakabin,,4503,11,(07) 3491 5444,N,(07) 3491 5400,www.dakabinshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Murrumba,Moreton Bay (R),2142,Dakabin State High School,State High School,
2143,St George State High School,-28.030465,148.592742,State High School,N,,,2,Victoria Street,St George,4487,Principal,PO Box 209,St George,,4487,8,(07) 4620 8222,N,(07) 4620 8200,www.stgeorgeshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Maranoa,Warrego,Balonne (S),2143,St George State High School,State High School,
2144,Miles State High School,-26.653516,150.185136,State High School,N,,,,Pine Street,Miles,4415,Principal,PO Box 21,Miles,,4415,8,(07) 4628 5111,N,,www.milesshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Maranoa,Callide,Western Downs (R),2144,Miles State High School,State High School,
2145,Burnside State High School,-26.630401,152.947268,State High School,Y,,,,Blaxland Road,Burnside,4560,Principal,SCMC Box 5247,Nambour,,4560,10,(07) 5459 7333,N,(07) 5441 7353,www.burnsideshs.eq.edu.au,Year 7,Year 12,North Coast,Fairfax,Nicklin,Sunshine Coast (R),2145,Burnside State High School,State High School,
2146,Kirwan State High School,-19.308901,146.7339,State High School,Y,,,,Hudson Street,Kirwan,4817,Executive Principal,PO Box 33,Thuringowa Central,,4817,11,(07) 4773 8111,N,(07) 4773 8100,www.kirwanshs.eq.edu.au,Year 7,Year 12,North Queensland,Herbert,Thuringowa,Townsville (C),2146,Kirwan State High School,State High School,
2147,Merrimac State High School,-28.039803,153.416317,State High School,N,,,,Dunlop Court,Mermaid Waters,4218,Principal,Q Supercentre,PO Box 5610,Mermaid Waters,4218,11,(07) 5595 8666,N,(07) 5595 8600,www.merrimacshs.eq.edu.au,Year 7,Year 12,South East,Moncrieff,Mermaid Beach,Gold Coast (C),2147,Merrimac State High School,State High School,
2148,Ferny Grove State High School,-27.405719,152.933792,State High School,Y,,,,McGinn Road,Ferny Grove,4055,Principal,PO Box 128,Ferny Hills,,4055,11,(07) 3550 5777,N,(07) 3550 5700,www.fernygroveshs.eq.edu.au,Year 7,Year 12,Metropolitan,Ryan,Ferny Grove,Brisbane (C),2148,Ferny Grove State High School,State High School,
2149,Shailer Park State High School,-27.662079,153.186717,State High School,Y,,,,Leaf Street,Shailer Park,4128,Principal,PO Box 3277,Logan Hyperdome,Loganholme,4129,9,(07) 3451 2777,N,(07) 3451 2700,www.shaiparkshs.eq.edu.au,Year 7,Year 12,South East,Forde,Springwood,Logan (C),2149,Shailer Park State High School,State High School,
2150,Benowa State High School,-28.004753,153.388506,State High School,Y,,,,Mediterranean Drive,Benowa,4217,Executive Principal,PO Box 5733,Gold Coast Mail Centre,,9726,11,(07) 5582 7333,N,(07) 5582 7300,www.benowashs.eq.edu.au,Year 7,Year 12,South East,Moncrieff,Southport,Gold Coast (C),2150,Benowa State High School,State High School,
2151,Rosewood State High School,-27.635897,152.585622,State High School,N,,,46,Lanefield Road,Rosewood,4340,Principal,46 Lanefield Road,Rosewood,,4340,9,(07) 5461 9400,N,(07) 5461 9446,www.rosewoodshs.eq.edu.au,Year 7,Year 12,Metropolitan,Blair,Ipswich West,Ipswich (C),2151,Rosewood State High School,State High School,
2152,Toolooa State High School,-23.873238,151.270448,State High School,N,,,,Philip Street,South Gladstone,4680,Principal,PO Box 8109,South Gladstone,,4680,10,(07) 4971 4333,N,(07) 4971 4300,www.toolooashs.eq.edu.au,Year 7,Year 12,Central Queensland,Flynn,Gladstone,Gladstone (R),2152,Toolooa State High School,State High School,
2153,Loganlea State High School,-27.673715,153.142384,State High School,N,,,,Neridah Street,Loganlea,4131,Principal,Neridah Street,Loganlea,,4131,9,(07) 3451 8777,N,(07) 3451 8700,www.loganleashs.eq.edu.au,Year 7,Year 12,South East,Forde,Waterford,Logan (C),2153,Loganlea State High School,State High School,
2154,Morayfield State High School,-27.109046,152.953373,State High School,N,,,,Visentin Road,Morayfield,4506,Principal,PO Box 835,Caboolture,,4510,11,(07) 5428 5555,N,(07) 5428 5500,www.morayfieshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Morayfield,Moreton Bay (R),2154,Morayfield State High School,State High School,
2155,Albany Creek State High School,-27.357634,152.968606,State High School,Y,,,,Albany Forest Drive,Albany Creek,4035,Principal,PO Box 40,Albany Creek,,4035,11,(07) 3325 6333,N,(07) 3325 6300,www.albacreeshs.eq.edu.au,Year 7,Year 12,Metropolitan,Dickson,Everton,Moreton Bay (R),2155,Albany Creek State High School,State High School,
2156,Dysart State High School,-22.584027,148.354821,State High School,N,,,,Edgerley Street,Dysart,4745,Principal,PO Box 186,Dysart,,4745,8,(07) 4941 1888,N,(07) 4941 1800,www.dysartshs.eq.edu.au,Year 7,Year 12,Central Queensland,Capricornia,Burdekin,Isaac (R),2156,Dysart State High School,State High School,
2157,Nanango State High School,-26.667821,151.993033,State High School,N,,,54,Elk Street,Nanango,4615,Principal,PO Box 441,Nanango,,4615,9,(07) 4171 6444,N,(07) 4171 6400,www.nanangoshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Maranoa,Nanango,South Burnett (R),2157,Nanango State High School,State High School,
2158,Rochedale State High School,-27.585626,153.111492,State High School,N,,,249,Priestdale Road,Rochedale,4123,Principal,PO Box 3340,Logan City DC,,4114,11,(07) 3340 0400,N,(07) 3340 0444,www.rochedaleshs.eq.edu.au,Year 7,Year 12,Metropolitan,Bonner,Mansfield,Brisbane (C),2158,Rochedale State High School,State High School,
2159,Tropical North Learning Academy - Smithfield State High School,-16.811917,145.695661,State High School,Y,,,,O'Brien Road,Smithfield,4878,Principal,PO Box 500,Smithfield,,4878,10,(07) 4058 4333,N,(07) 4057 7664,www.smithfieldshs.eq.edu.au,Year 7,Year 12,Far North Queensland,Leichhardt,Barron River,Cairns (R),2159,Tropical North Learning Academy - Smithfield State High School,State High School,
2160,Lowood State High School,-27.467169,152.582497,State High School,N,,,,Prospect Street,Lowood,4311,Principal,PO Box 138,Lowood,,4311,10,(07) 5427 8333,N,(07) 5427 8300,www.lowoodshs.eq.edu.au,Year 7,Year 12,Metropolitan,Blair,Lockyer,Somerset (R),2160,Lowood State High School,State High School,
2161,Mabel Park State High School,-27.639652,153.128856,State High School,N,,,72-116,Paradise Road,Slacks Creek,4127,Principal,PO Box 2780,Logan City DC,,4114,10,(07) 3489 2333,N,(07) 3489 2300,www.mabelparkshs.eq.edu.au,Year 7,Year 12,South East,Rankin,Waterford,Logan (C),2161,Mabel Park State High School,State High School,
2162,Woree State High School,-16.960249,145.741894,State High School,N,,,,Rigg Street,Woree,4868,Principal,PO Box 12026,Cairns DC,,4870,10,(07) 4081 5222,N,(07) 4081 5200,www.woreeshs.eq.edu.au,Year 7,Year 12,Far North Queensland,Leichhardt,Mulgrave,Cairns (R),2162,Woree State High School,State High School,
2163,Laidley State High School,-27.636226,152.404472,State High School,Y,,,98,Alfred Street,Laidley,4341,Principal,98 Alfred Street,Laidley,,4341,9,(07) 5466 8922,N,(07) 5466 8934,www.laidleyshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),2163,Laidley State High School,State High School,
2164,Browns Plains State High School,-27.669922,153.054003,State High School,N,,,,Ivor Street,Browns Plains,4118,Principal,PO Box 366,Browns Plains,,4118,11,(07) 3802 6222,N,(07) 3802 6200,www.brownsplainsshs.eq.edu.au,Year 7,Year 12,South East,Rankin,Woodridge,Logan (C),2164,Browns Plains State High School,State High School,
2165,Coolum State High School,-26.501986,153.086206,State High School,N,,,,Havana Road East,Coolum Beach,4573,Principal,Havana Road East,Coolum Beach,,4573,10,(07) 5471 5333,N,(07) 5471 5300,www.coolumshs.eq.edu.au,Year 7,Year 12,North Coast,Fairfax,Ninderry,Sunshine Coast (R),2165,Coolum State High School,State High School,
2166,Coombabah State High School,-27.924342,153.378382,State High School,N,,,,Pine Ridge Road,Coombabah,4216,Principal,PO Box 146,Runaway Bay,,4216,11,(07) 5552 3888,N,(07) 5552 3800,www.coombabashs.eq.edu.au,Year 7,Year 12,South East,Fadden,Bonney,Gold Coast (C),2166,Coombabah State High School,State High School,
2167,Runcorn State High School,-27.592692,153.07801,State High School,Y,,,132,Hill Road,Runcorn,4113,Principal,PO Box 2034,Runcorn,,4113,10,(07) 3323 1609,N,(07) 3323 1600,www.runcornshs.eq.edu.au,Year 7,Year 12,Metropolitan,Moreton,Stretton,Brisbane (C),2167,Runcorn State High School,State High School,
2168,Pioneer State High School,-21.095848,149.180635,State High School,N,,,,Bedford Road,Andergrove,4740,Principal,PO Box 8279,Mount Pleasant,,4740,9,(07) 4955 9222,N,(07) 4955 9200,www.pioneershs.eq.edu.au,Year 7,Year 12,Central Queensland,Dawson,Mackay,Mackay (R),2168,Pioneer State High School,State High School,
2169,Nerang State High School,-28.000554,153.327896,State High School,N,,,,Weedons Road,Nerang,4211,Principal,Weedons Road,Nerang,,4211,10,(07) 5503 7888,N,(07) 5503 7800,www.nerangshs.eq.edu.au,Year 7,Year 12,South East,Moncrieff,Gaven,Gold Coast (C),2169,Nerang State High School,State High School,
2171,Collinsville State High School,-20.548484,147.834688,State High School,N,,,,Walker Street,Collinsville,4804,Principal,PO Box 161,Collinsville,,4804,8,(07) 4785 8111,N,(07) 4785 8100,www.collinsvshs.eq.edu.au,Year 7,Year 12,North Queensland,Capricornia,Burdekin,Whitsunday (R),2171,Collinsville State High School,State High School,
2172,Thuringowa State High School,-19.336551,146.719053,State High School,N,,,26 - 54,Vickers Road South,Condon,4815,Principal,PO Box 186,Thuringowa Central,,4817,9,(07) 4753 8888,N,(07) 4773 1222,www.thuringowashs.eq.edu.au,Year 7,Year 12,North Queensland,Herbert,Thuringowa,Townsville (C),2172,Thuringowa State High School,State High School,
2173,Bray Park State High School,-27.299893,152.961965,State High School,Y,,,,Lavarack Road,Bray Park,4500,Principal,PO Box 3168,Warner,,4500,10,(07) 3881 6666,N,(07) 3881 6600,www.brayparkshs.eq.edu.au,Year 7,Year 12,North Coast,Dickson,Pine Rivers,Moreton Bay (R),2173,Bray Park State High School,State High School,
2174,Redbank Plains State High School,-27.65341,152.868869,State High School,N,,,,Willow Road,Redbank Plains,4301,Principal,PO Box 378,Goodna,,4300,11,(07) 3432 1222,N,(07) 3432 1200,www.redbplaishs.eq.edu.au,Year 7,Year 12,Metropolitan,Blair,Bundamba,Ipswich (C),2174,Redbank Plains State High School,State High School,
2175,Alexandra Hills State High School,-27.523768,153.215428,State High School,Y,,,,Windemere Road,Alexandra Hills,4161,Principal,PO Box 234,Capalaba,,4157,11,(07) 3820 1444,N,(07) 3820 1400,www.alexhillshs.eq.edu.au,Year 7,Year 12,South East,Bowman,Capalaba,Redland (C),2175,Alexandra Hills State High School,State High School,
2176,Marsden State High School,-27.684754,153.111421,State High School,N,,,106-130,Muchow Road,Waterford West,4133,Executive Principal,PO Box 1490,Browns Plains,,4118,11,(07) 3299 0555,N,(07) 3299 0500,www.marsdenshs.eq.edu.au,Year 7,Year 12,South East,Forde,Waterford,Logan (C),2176,Marsden State High School,State High School,
2177,Maleny State High School,-26.765728,152.856977,State High School,N,,,50,Bunya Street,Maleny,4552,Principal,PO Box 601,Maleny,,4552,9,(07) 5499 8111,N,(07) 5499 8100,www.malenyshs.eq.edu.au,Year 7,Year 12,North Coast,Fisher,Glass House,Sunshine Coast (R),2177,Maleny State High School,State High School,
2178,Wellington Point State High School,-27.491031,153.228851,State High School,N,,,2-36,Badgen Road,Wellington Point,4160,Principal,PO Box 2078,Wellington Point,,4160,10,(07) 3820 4222,N,(07) 3820 4200,www.wellpoinshs.eq.edu.au,Year 7,Year 12,South East,Bowman,Oodgeroo,Redland (C),2178,Wellington Point State High School,State High School,
2179,Toogoolawah State High School,-27.102603,152.388355,State High School,N,,,76,Old Mount Beppo Road,Toogoolawah,4313,Principal,PO Box 21,Toogoolawah,,4313,8,(07) 5423 4444,N,(07) 5423 4400,www.toogoolawahshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Blair,Nanango,Somerset (R),2179,Toogoolawah State High School,State High School,
2181,Bribie Island State High School,-27.082965,153.166077,State High School,Y,,,,First Avenue,Bongaree,4507,Principal,PO Box 988,Bribie Island,,4507,11,(07) 3400 2444,N,,www.bribieislandshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Pumicestone,Moreton Bay (R),2181,Bribie Island State High School,State High School,
2182,Capella State High School,-23.088158,148.030481,State High School,N,,,35-45,Gordon Street,Capella,4723,Principal,PO Box 195,Capella,,4723,8,(07) 4988 7333,N,(07) 4988 7300,www.capellashs.eq.edu.au,Year 7,Year 12,Central Queensland,Flynn,Gregory,Central Highlands (R),2182,Capella State High School,State High School,
2183,Elanora State High School,-28.128473,153.449513,State High School,Y,,,,Cnr 19th Avenue & Avocado Street,Elanora,4221,Principal,Cnr 19th Avenue & Avocado Street,Elanora,,4221,10,(07) 5568 4333,N,(07) 5534 8332,www.elanorashs.eq.edu.au,Year 7,Year 12,South East,Mcpherson,Currumbin,Gold Coast (C),2183,Elanora State High School,State High School,
2184,Helensvale State High School,-27.898194,153.326775,State High School,Y,,,243,Discovery Drive,Helensvale,4212,Executive Principal,243 Discovery Drive,Helensvale,,4212,11,(07) 5573 8555,N,(07) 5573 8500,www.helensvaleshs.eq.edu.au,Year 7,Year 12,South East,Fadden,Theodore,Gold Coast (C),2184,Helensvale State High School,State High School,
2185,Clermont State High School,-22.827715,147.638931,State High School,N,,,1,Kitchener Street,Clermont,4721,Principal,PO Box 590,Clermont,,4721,8,(07) 4983 4333,N,(07) 4983 2832,www.clermontshs.eq.edu.au,Year 7,Year 12,Central Queensland,Capricornia,Burdekin,Isaac (R),2185,Clermont State High School,State High School,
2186,William Ross State High School,-19.314852,146.800571,State High School,Y,,,,Mervyn Crossman Drive,Annandale,4814,Principal,PO Box 1284,Aitkenvale,,4814,10,(07) 4726 7666,N,(07) 4726 7600,www.willrossshs.eq.edu.au,Year 7,Year 12,North Queensland,Dawson,Mundingburra,Townsville (C),2186,William Ross State High School,State High School,
2187,Park Ridge State High School,-27.70035,153.0337,State High School,N,,,14-30,Lancewood Street,Park Ridge,4125,Principal,PO Box 893,Park Ridge,,4125,11,(07) 3380 4111,N,(07) 3380 4100,www.parkridgeshs.eq.edu.au,Year 7,Year 12,South East,Forde,Logan,Logan (C),2187,Park Ridge State High School,State High School,
2188,Tullawong State High School,-27.070593,152.92895,State High School,N,,,,Del Rosso Road,Caboolture,4510,Principal,PO Box 1129,Caboolture,,4510,10,(07) 5428 5222,N,(07) 5428 5200,www.tullawongshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Morayfield,Moreton Bay (R),2188,Tullawong State High School,State High School,
2189,Windaroo Valley State High School,-27.740466,153.190116,State High School,N,,,240,Beaudesert Beenleigh Road,Bahrs Scrub,4207,Principal,PO Box 1427,Beenleigh,,4207,11,(07) 3804 2333,N,(07) 3804 2300,www.wvhigh.eq.edu.au,Year 7,Year 12,South East,Forde,Macalister,Logan (C),2189,Windaroo Valley State High School,State High School,
2190,Mountain Creek State High School,-26.688102,153.102947,State High School,Y,,,,Lady Musgrave Drive,Mountain Creek,4557,Executive Principal,PO Box 827,Mooloolaba,,4557,11,(07) 5457 8333,N,(07) 5457 8300,www.mtncreekshs.eq.edu.au,Year 7,Year 12,North Coast,Fairfax,Buderim,Sunshine Coast (R),2190,Mountain Creek State High School,State High School,
2191,Redbank Plains SHS - Special Education Program,-27.65341,152.868869,Special Education Program,N,,c/- Redbank Plains SHS,,Willow Road,Redbank Plains,4301,Head of Special Education Services,PO Box 378,Goodna,,4300,7,(07) 3432 1222,N,(07) 3814 2547,,Year 7,Year 12,Metropolitan,Blair,Bundamba,Ipswich (C),2174,Redbank Plains State High School,State High School,
2192,Beaudesert SHS - Special Education Program,-27.970749,152.997001,Special Education Program,N,,Beaudesert SHS,271-297,Brisbane Street,Beaudesert,4285,Head of Special Education Services,PO Box 104,Beaudesert,,4285,7,(07) 5542 9125,N,(07) 5542 9100,www.beaudeseshs.eq.edu.au,Year 7,Year 12,South East,Wright,Scenic Rim,Scenic Rim (R),2083,Beaudesert State High School,State High School,
2193,Bribie Island SHS - Special Education Program,-27.082965,153.166077,Special Education Program,N,,c/- Bribie Island SHS,,First Avenue,Bongaree,4507,Head of Special Education Services,PO Box 988,Bribie Island,,4507,6,(07) 3400 2444,N,(07) 3400 2400,www.bribieislandshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Pumicestone,Moreton Bay (R),2181,Bribie Island State High School,State High School,
2194,Tullawong SHS - Special Education Program,-27.070593,152.92895,Special Education Program,N,,c/- Tullawong SHS,,Del Rosso Road,Caboolture,4510,Head of Special Education Services,PO Box 1129,Caboolture,,4510,6,(07) 5428 5222,N,(07) 5428 5200,www.tullawongshs.eq.edu.au,Year 7,Year 12,North Coast,Longman,Morayfield,Moreton Bay (R),2188,Tullawong State High School,State High School,
2195,Rockhampton SHS - Special Education Program,-23.369589,150.499255,Special Education Program,N,,Rockhampton SHS,,Campbell Street,Wandal,4700,Head of Special Education Services,c/- Rockhampton SHS,Campbell Street,Rockhampton,4700,6,(07) 4920 4333,N,(07) 4920 4300,www.rockhampshs.eq.edu.au,Year 7,Year 12,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),2011,Rockhampton State High School,State High School,
2196,Kingaroy SHS - Special Education Program,-26.542982,151.832312,Special Education Program,N,,Kingaroy SHS,,Toomey Street,Kingaroy,4610,Head of Special Education Services,PO Box 356,Kingaroy,,4610,6,(07) 4160 0666,N,(07) 4162 3923,www.kingaroyshs.eq.edu.au,Year 7,Year 12,Darling Downs South West,Maranoa,Nanango,South Burnett (R),2044,Kingaroy State High School,State High School,
2197,Mareeba SHS - Special Education Program,-16.995838,145.416363,Special Education Program,N,,c/- Mareeba SHS,,Jasper Street,Mareeba,4880,Head of Special Education Services,PO Box 1079,Mareeba,,4880,5,(07) 4086 2777,N,(07) 4092 3915,www.mareebashs.eq.edu.au,Prep Year,Year 12,Far North Queensland,Kennedy,Cook,Mareeba (S),2058,Mareeba State High School,State High School,
2198,Sunnybank Hills SS - Special Education Program,-27.5952,153.05624,Special Education Program,N,,c/- Sunnybank Hills SS,77,Symons Road,Sunnybank Hills,4109,Head of Special Education Services,Symons Road,Sunnybank Hills,,4109,5,(07) 3323 8333,N,(07) 3323 8300,www.sunnhillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Stretton,Brisbane (C),1889,Sunnybank Hills State School,State School,
2199,Gympie South SS - Special Education Program,-26.199809,152.645434,Special Education Program,N,,Gympie South SS,50,Exhibition Road,Southside,4570,Head of Special Education Services,50 Exhibition Road,Gympie,,4570,6,(07) 5483 0444,N,(07) 5483 0400,www.gympiesouthss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),1221,Gympie South State School,State School,
2200,Ferny Grove SS - Special Education Program,-27.40276,152.929123,Special Education Program,N,,,,Finvoy Street,Ferny Grove,4055,Head of Special Education Services,Finvoy Street,Ferny Grove,,4055,5,(07) 3550 5334,N,(07) 3550 5300,www.fernygrovess.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Ferny Grove,Brisbane (C),227,Ferny Grove State School,State School,
2201,Geebung SS - Special Education Program,-27.375188,153.046642,Special Education Program,N,,,250,Newman Road,Geebung,4034,Teacher-in-Charge,PO Box 134,Geebung,,4034,,(07) 3623 8706,N,(07) 3623 8700,www.geebungss.eq.edu.au,Prep Year,Year 6,Metropolitan,Lilley,Aspley,Brisbane (C),1257,Geebung State School,State School,
2202,Redbank Plains SS - Special Education Program,-27.647923,152.851911,Special Education Program,N,,,39-53,School Road,Redbank Plains,4301,Head of Special Education Services,School Road,Redbank Plains,,4301,5,(07) 3814 9222,N,(07) 3814 9200,,Prep Year,Year 6,Metropolitan,Blair,Bundamba,Ipswich (C),88,Redbank Plains State School,State School,
2203,Camira SS - Special Education Program,-27.621316,152.914644,Special Education Program,N,,c/- Camira SS,184-202,Old Logan Road,Camira,4300,Head of Special Education Services,184 202 Old Logan Road,Gailes,,4300,5,(07) 3381 4888,N,(07) 3381 4810,www.camirass.eq.edu.au,Prep Year,Year 6,Metropolitan,Oxley,Jordan,Ipswich (C),352,Camira State School,State School,
2204,Mabel Park SS - Special Education Program,-27.643124,153.126471,Special Education Program,N,,c/- Mabel Park SS,,Borman Street,Slacks Creek,4127,Head of Special Education Services,PO Box 2798,Logan City DC,,4114,6,(07) 3386 5333,N,(07) 3386 5300,www.mabelparkss.eq.edu.au,Prep Year,Year 6,South East,Rankin,Waterford,Logan (C),356,Mabel Park State School,State School,
2205,Moreton Downs SS - Special Education Program,-27.200106,153.01724,Special Education Program,N,,c/- Moreton Downs SEU,,Parsons Boulevard,Deception Bay,4508,Head of Special Education Services,Parsons Boulevard,Deception Bay,,4508,5,(07) 3897 2617,N,(07) 3897 2600,www.moredownss.eq.edu.au,Prep Year,Year 6,North Coast,Petrie,Bancroft,Moreton Bay (R),1753,Moreton Downs State School,State School,
2206,Allenstown SS - Special Education Program,-23.391906,150.502671,Special Education Program,N,,Allenstown State School,,Upper Dawson Road,Allenstown,4700,Head of Special Education Services,c/- Allenstown State School,Dawson Road,Rockhampton,4700,5,(07) 4930 0109,Y,(07) 4930 0100,,Prep Year,Year 6,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),155,Allenstown State School,State School,
2207,St George SS - Special Education Program,-28.037716,148.580719,Special Education Program,N,,c/- St George SS,,Grey Street,St George,4487,Head of Special Education Services,PO Box 231,St George,,4487,5,(07) 4620 8333,N,(07) 4620 8300,,Early Childhood,Year 12,Darling Downs South West,Maranoa,Warrego,Balonne (S),134,St George State School,State School,
2208,Woodcrest State College - Early Childhood Development Program,-27.657283,152.918473,Special Education Program,N,,c/-Woodcrest College,38,Nev Smith Drive,Springfield,4300,Head of Special Education Services,PO Box 4106,Springfield,,4300,,(07) 3280 2424,N,(07) 3280 2425,www.woodcrestsc.eq.edu.au,Early Childhood,Early Childhood,Metropolitan,Oxley,Jordan,Ipswich (C),456,Woodcrest State College,State School,
2222,Faith Lutheran College - Plainland,-27.568044,152.416193,Non-State School,N,,,5,Faith Avenue,Plainland,4341,Principal,5 Faith Avenue,Plainland,,4341,,(07) 5466 9900,N,(07) 5466 9911,www.faithlc.qld.edu.au,Year 7,Year 12,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),2222,Faith Lutheran College - Plainland,Non-State School,
2224,Saint Philomena School,-27.720892,153.084183,Non-State School,N,,,61-71,Koplick Road,Park Ridge,4125,Principal,61-71 Koplick Road,Park Ridge,,4125,,(07) 3802 0088,,(07) 3802 0360,www.stphilomena.qld.edu.au,Prep Year,Year 12,South East,Forde,Logan,Logan (C),2224,Saint Philomena School,Non-State School,
2225,Carinity Education - Southside,-27.577888,153.054784,Non-State School,N,,,153,Lister Street,Sunnybank,4109,Principal,PO Box 234,Coopers Plains,,4108,,(07) 3423 7499,,(07) 3423 7599,www.southside.qld.edu.au,Year 7,Year 12,Metropolitan,Moreton,Toohey,Brisbane (C),2225,Carinity Education - Southside,Non-State School,
2226,Kimberley College,-27.680924,153.235692,Non-State School,N,,,35-41,Kruger Road,Carbrook,4130,Principal,PO Box 3578,Logan Hyperdome,,4129,,(07) 3209 0300,,(07) 3287 6155,www.kimberleycollege.org,Prep Year,Year 12,South East,Forde,Macalister,Logan (C),2226,Kimberley College,Non-State School,
2239,Bentley Park College - Special Education Program,-17.009376,145.740081,Special Education Program,N,,,,McLaughlin Road,Bentley Park,4869,Head of Special Education Services,PO Box 289,Edmonton,,4869,6,(07) 4040 8112,N,(07) 4040 8109,www.bentleyparkcollege.eq.edu.au,Prep Year,Year 12,Far North Queensland,Leichhardt,Mulgrave,Cairns (R),452,Bentley Park College,State School,
2240,Gympie West SS - Special Education Program,-26.173838,152.662105,Special Education Program,N,,,41,Cartwright Road,Gympie,4570,Head of Special Education Services,41 Cartwright Road,Gympie,,4570,6,(07) 5489 8211,N,(07) 5482 9072,,Early Childhood,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),560,Gympie West State School,State School,
2241,Noosaville SS - Special Education Program,-26.409542,153.029142,Special Education Program,N,,,75,Beckmans Road,Noosaville,4566,Head of Special Education Services,PO Box 1079,Noosaville DC,,4566,5,(07) 5440 3252,N,(07) 5440 3200,www.noosavilless.eq.edu.au,Early Childhood,Year 6,North Coast,Wide Bay,Noosa,Noosa (S),175,Noosaville State School,State School,
2242,Tagai State College - Special Education Program,-10.580038,142.222233,Special Education Program,N,,,,Summers Street,Thursday Island,4875,Head of Special Education Services,PO Box 82,Thursday Island,,4875,6,(07) 4069 2831,N,(07) 4069 1950,,Early Childhood,Year 12,Far North Queensland,Leichhardt,Cook,Torres (S),463,Tagai State College - Thursday Island Primary Campus,Campus,
2243,Warwick West SS - Special Education Program,-28.221121,152.014817,Special Education Program,N,,,17,George Street,Warwick,4370,Head of Special Education Services,17 George Street,Warwick,,4370,5,(07) 4660 5333,N,(07) 4660 5300,,Early Childhood,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),1152,Warwick West State School,State School,
2244,Grand Avenue SS - Special Education Program,-27.626041,152.958183,Special Education Program,N,,,,Cnr Centennial Way & Grand Avenue,Forest Lake,4078,Head of Special Education Services,PO Box 4126,Forest Lake,,4078,6,(07) 3372 0537,N,(07) 3372 0538,,Prep Year,Year 6,Metropolitan,Oxley,Inala,Brisbane (C),1674,Grand Avenue State School,State School,
2245,Cooroy Hub Special Education Program,-26.414028,152.911454,Special Education Program,N,,,59,Elm Street,Cooroy,4563,Head of Special Education Services,PO Box 404,Cooroy,,4563,6,(07) 5472 2100,N,(07) 5472 2177,,Prep Year,Year 6,North Coast,Wide Bay,Nicklin,Noosa (S),1165,Cooroy State School,State School,
